ppm intensity peak
0.681693238 0.050584184 1
0.682242991 0.031887483 1
0.682792743 0.058012552 1
0.683342496 0.036868957 1
0.683892248 0.026583213 1
0.684442001 0.048911843 1
0.684991754 0.088711607 1
0.685541506 0.045680768 1
0.686091259 0.03128382 1
0.686641012 0.03128382 1
0.687190764 0.060314301 1
0.687740517 0.067327023 1
0.688290269 0.027739633 1
0.688840022 0.05097259 1
0.689389775 0.031944713 1
0.689939527 0.03339856 1
0.69048928 0.058277451 1
0.691039032 0.030833435 1
0.691588785 0.038511643 1
0.692138538 0.037486156 1
0.69268829 0.030640807 1
0.693238043 0.033687864 1
0.693787795 0.035640552 1
0.694337548 0.0267266 1
0.694887301 0.016348669 1
0.695437053 0.040852025 1
0.695986806 0.022742048 1
0.696536559 0.029979457 1
0.697086311 0.03859166 1
0.697636064 0.044329766 1
0.698185816 0.014171769 1
0.698735569 0.015207741 1
0.699285322 0.01558645 1
0.699835074 0.012091488 1
0.700384827 0.03914789 1
0.700934579 0.068419463 1
0.701484332 0.057829543 1
0.702034085 0.055180379 1
0.702583837 0.059507405 1
0.70313359 0.051386059 1
0.703683342 0.06426642 1
0.704233095 0.066062017 1
0.704782848 0.057526919 1
0.7053326 0.050428795 1
0.705882353 0.050428795 1
0.706432106 0.050428795 1
0.706981858 0.050428795 1
0.707531611 0.065537529 1
0.708081363 0.055598542 1
0.708631116 0.045075046 1
0.709180869 0.02517725 1
0.709730621 0.053253467 1
0.710280374 0.073784293 1
0.710830126 0.09783232 1
0.711379879 0.057085854 1
0.711929632 0.049724161 1
0.712479384 0.072592925 1
0.713029137 0.072592925 1
0.713578889 0.072304933 1
0.714128642 0.05708698 1
0.714678395 0.037920992 1
0.715228147 0.00844168 1
0.7157779 0.031095968 1
0.716327653 0.066388307 1
0.716877405 0.033298163 1
0.717427158 0.03564536 1
0.71797691 0.042495689 1
0.718526663 0.036063008 1
0.719076416 0.052101591 1
0.719626168 0.049510602 1
0.720175921 0.025361295 1
0.720725673 0.059932662 1
0.721275426 0.063732684 1
0.721825179 0.056056954 1
0.722374931 0.056665878 1
0.722924684 0.043901739 1
0.723474437 0.020612564 1
0.724024189 0.01908408 1
0.724573942 0.054368953 1
0.725123694 0.034932952 1
0.725673447 0.046266377 1
0.7262232 0.034353743 1
0.726772952 0.027481317 1
